"SurveyEvent_Survey_Event_ID","Site_ID","Observer","Survey_Date","Survey_Time","Wind","Temp","Sky_Code","Avg_Noise","Max_Noise","OVSP?","Site_Comments","Number_Detected","SurveyDetail_Survey_Event_ID","Lark_ID","Individual_ID","Sex","Age","Distance Band","Interval_1","Interval_2","Interval_3","Interval_4","Notes"
1,"1009","SHA","6/9/2022","7:39:00 AM",2.00,65.70,"2",60.30,79.00,0,"Approx 1/4 NE is oak stand ~30m tall, W is fescue field and E in front of oaks is freshly plowed earth patch ~100mx25m.",0,,,,,,,,,,,
2,"1021","SHA","6/9/2022","6:55:00 AM",0.00,62.30,"2",54.30,79.00,0,"Fescue field on E side, some trees and shrub growth on W side. Houe and yard ~200 m NW",0,,,,,,,,,,,
3,"2089","SHA","6/9/2022","6:09:00 AM",3.00,58.70,"1",66.30,82.00,0,"grass ag fields on both sides of road, large patches of trees both sides ~100m N on road",0,,,,,,,,,,,
4,"2065","SHA","6/7/2022","8:38:00 AM",0.00,56.00,"2",48.00,74.00,0,,2,4,2,1,"M","A","3","X","V","V","V",
4,"2065","SHA","6/7/2022","8:38:00 AM",0.00,56.00,"2",48.00,74.00,0,,2,4,3,2,"M","A","4","X","V","V","X",
5,"2073","SHA","6/7/2022","9:21:00 AM",1.60,52.00,"2",41.00,71.00,0,,0,,,,,,,,,,,
6,"2016","MLG","6/8/2022","5:46:00 AM",0.00,60.50,"2",88.70,105.00,0,"Very busy road. Grass fields mowed along road ~3m, tall trees >100m from road on both sides",0,,,,,,,,,,,
7,"2090","MLG","6/8/2022","6:07:00 AM",1.00,58.50,"2",66.40,86.00,0,"3 way intersection with 3 different fields at a lower level than field. Clean open ground shoulder/ditch",0,,,,,,,,,,,
8,"2008","MLG","6/8/2022","6:37:00 AM",2.00,63.00,"2",82.20,103.00,0,"No shoulder, park at vacant lot near trees. 2+m grass on both sides of the road.",0,,,,,,,,,,,
9,"2030","MLG","6/8/2022","6:57:00 AM",2.50,56.50,"4",67.30,86.00,0,"Across from a house. Grass fields on both sides west of point",0,,,,,,,,,,,
10,"2054","MLG","6/8/2022","7:23:00 AM",1.30,58.80,"2",79.50,101.00,0,,0,,,,,,,,,,,
11,"2068","MLG","6/8/2022","7:45:00 AM",1.10,61.00,"1",85.10,105.00,0,"Grassy slope to the west of point, line of trees on the east with grass field beyond",0,,,,,,,,,,,
12,"2076","MLG","6/8/2022","8:07:00 AM",1.00,66.40,"1",87.60,105.00,0,"Busy road. Grassy hill to east of point, trees along a creek to the west.",0,,,,,,,,,,,
13,"2011","MLG","6/8/2022","8:29:00 AM",4.20,61.60,"2",73.30,91.00,0,"Stubble field to the west with low spots that would flood, tall grass field to the east.",2,13,4,1,"M","A","2","X","V","S","S",
13,"2011","MLG","6/8/2022","8:29:00 AM",4.20,61.60,"2",73.30,91.00,0,"Stubble field to the west with low spots that would flood, tall grass field to the east.",2,13,5,2,"F","A","3","X","X","X","V",
14,"2088","MLG","6/8/2022","9:02:00 AM",4.00,68.10,"1",82.00,88.00,0,"Parking lot on west side of point, tall grass field to east bordered by trees and a ditch. Issue with sound meter app so the noise levels are not accurate",0,,,,,,,,,,,
15,"2055","MLG","6/8/2022","9:28:00 AM",6.10,62.20,"1",76.10,96.00,0,"Point on a curve. Tall grass on both sides with bare shoulder. SASP singing",0,,,,,,,,,,,
16,"2034","MLG","6/9/2022","5:50:00 AM",1.50,58.00,"2",79.40,98.00,0,"Gravel shoulder with tall grass on both sides. Busy road on HWY 99E",0,,,,,,,,,,,
17,"2093","MLG","6/9/2022","6:06:00 AM",2.50,54.50,"2",77.10,99.00,0,"Busy road, short grass and gravel shoulder. Train tracks to the east then an open grass field (HWY 99E)",0,,,,,,,,,,,
18,"2045","MLG","6/9/2022","6:22:00 AM",0.00,60.80,"1",23.00,97.00,0,"2m high grass on south side of point, clover on the north side. Gravel and low grass shoulder. A cool biplane flew over",1,18,6,1,"M","A","3","X","S","C","X",
19,"2077","MLG","6/9/2022","6:41:00 AM",1.30,57.20,"1",60.00,90.00,0,"Gravel road with 1.5 m grass on both sides. Lots of SASP",0,,,,,,,,,,,
20,"2061","MLG","6/9/2022","7:07:00 AM",1.20,57.20,"2",40.00,59.00,0,"Gravel road with 2m grass on both sides",0,,,,,,,,,,,
21,"2006","MLG","6/9/2022","7:46:00 AM",2.30,57.70,"2",70.00,98.00,0,"Paved road with ag barns and house on the west side, tall grass field on the east. Killdeer nesting in the parking lot, 3 WEWP singing. Wind increased to 5mph during survey",0,,,,,,,,,,,
22,"2057","MLG","6/9/2022","8:28:00 AM",6.00,59.00,"2",59.00,100.00,0,"Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty",3,22,7,1,"M","A","2","X","V","S","V",
22,"2057","MLG","6/9/2022","8:28:00 AM",6.00,59.00,"2",59.00,100.00,0,"Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty",3,22,8,2,"F","A","2","X","X","V","V",
22,"2057","MLG","6/9/2022","8:28:00 AM",6.00,59.00,"2",59.00,100.00,0,"Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty",3,22,9,3,"U","A","3","X","X","V","X","Flew away before sex could be ID'd"
23,"2009","MLG","6/9/2022","9:07:00 AM",1.40,59.80,"2",75.00,98.00,0,"2m tall grass on both sides, bare gravel shoulder. Road crew came by and sprayed herbicide on west side of road at interval 2",0,,,,,,,,,,,
24,"3062","MLG","6/10/2022","5:40:00 AM",3.00,61.30,"2",40.20,71.00,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,24,10,1,"M","A","2","S","S","S","S",
