"Field_ID","unique_ID","Survey_Event_ID","Observer","Survey_Date","Survey_Time","Wind","Temp","Sky_Code","Avg_Noise","Max_Noise","OVSP?","Site_Comments","Number_Detected","Expr1014","Lark_ID","Individual_ID","Sex","Age","Distance Band","Interval_1","Interval_2","Interval_3","Interval_4","Notes"
"22_1_0148",148,136,"BMW","6/9/2022","8:25:00 AM",2.50,65.50,"2",70.00,102.00,0,"Vienyards on one side, spotty crimson clover on other side of the road. Tractor spraying the grape vines was a bit noisy, but this location is one of the furthest north, so did the survey anyways. Top noise levels were from cars going by not the tractor.",0,,,,,,,,,,,
"22_1_0203",203,135,"BMW","6/9/2022","7:49:00 AM",1.00,63.50,"2",51.00,85.00,0,"Farm buildings on the north, tall grass on the south. Some music playing from the farm. Lots of noisy house sparrows calling.",0,,,,,,,,,,,
"22_1_0213",213,182,"BMW","6/30/2022","7:08:00 AM",0.00,63.00,"0",36.00,66.00,0,"One grass field, cut and baled, on east side, along with grapes and hazelnuts. Cut and baled hay field with barns on west side. Some tall oaks and other trees around, both the farms and along the road. Gravel rd on hilly sloped terrain. Acorn woodpecker x2, purple finch, Eurasian-Collared dove, house fince and house wren.",0,,,,,,,,,,,
"22_1_0593",593,188,"BMW","6/27/2022","6:00:00 AM",0.00,62.00,"0",33.00,78.00,0,"Wheat and grass field on the south, house and trees and another field obscured by hedgerow on the north. Paved road with very little bare ground.",0,,,,,,,,,,,
"22_1_0597",597,187,"BMW","6/27/2022","6:32:00 AM",0.00,65.00,"0",45.00,92.00,0,"Grass field on the north. Large rural properties on south with grass pasture. Little traffic on this road (paved), but busy hwy 1/4 mile away. Large irrigation equipment in the grass field to the north.",0,,,,,,,,,,,
"22_1_0634",634,191,"BMW","6/27/2022","8:34:00 AM",1.70,73.00,"0",53.00,89.00,0,"1/2 hazelnuts, 1/2 grass field. Wide gravel road with bare dirt and gravel along the sides of the road. Very quiet spot. Tall fir trees 350 yards away on other side of grass field. Savannah sparrrows x 2. Max wind noise was due to an airplane flying over.",0,,,,,,,,,,,
"22_1_0975",975,195,"SHA","6/25/2022","8:34:00 AM",3.80,67.90,"0",61.20,82.00,0,"one side open field, other side some kind of crop",0,,,,,,,,,,,
"22_1_0982",982,186,"BMW","6/27/2022","9:00:00 AM",2.50,74.00,"0",60.00,111.00,0,"Lots of bare ground. Looks like maybe a sod farm field on the south and recently tilled soil on the north. Some large trees. Some loud traffic on paved road and tractors working in the field. White-crowned sparrow, kestrel.",0,,,,,,,,,,,
"22_1_1827",1827,189,"BMW","6/27/2022","7:09:00 AM",0.00,72.00,"0",42.00,72.00,0,"1/2 grass field, 1/2 hazelnuts and a small wooded house and property. Quiet gravel road. Some tall trees nearby. Western bluebirds and savannah sparrows.",0,,,,,,,,,,,
"22_1_2068",2068,183,"BMW","6/30/2022","6:09:00 AM",0.00,50.00,"0",57.00,112.00,0,"Just about the minimum for suitability. Large trees on the south. Clover field with large ag buildings on north, with grass field to the west. Much more appropriate habitat without buildings or trees just east down the road. See pictures. Paved road, but wide gravel shoulders. Purple finch, cedar waxwings, red-breasted nuthatch, California scrub-jay.",0,,,,,,,,,,,
"22_1_2203",2203,190,"BMW","6/27/2022","7:35:00 AM",1.00,69.00,"0",67.00,108.00,0,"Grass fields on the west, ag buildings, grass and hazelnuts on the east. Paved road with busy traffic and fast moving cars.",0,,,,,,,,,,,
"22_1_2332",2332,185,"BMW","6/27/2022","9:25:00 AM",2.60,75.00,"0",57.00,112.00,0,"Weedy grass field on the east and north, hazelnuts and house on the west. Directly in front of a house. Busy and noisy paved road. Oaks and trees on edges of the field. Very little bare ground except under the hazelnuts. Chipping sparrow, savannah sparrow, white-crowned sparrow, Kestrel.",0,,,,,,,,,,,
"22_1_2405",2405,193,"SHA","6/25/2022","9:14:00 AM",2.50,75.60,"0",57.80,80.00,0,"Two fields, one side farmhouse, a few stands of trees",0,,,,,,,,,,,
"22_1_2831",2831,192,"BMW","6/27/2022","8:12:00 AM",1.50,70.00,"0",55.00,112.00,0,"1/2 small tree nursery and ag buildings, 1/2 tall grass field. Paved road. Savannah sparrow and white-crowned sparrow.",0,,,,,,,,,,,
"22_1_3679",3679,1,"SHA","6/9/2022","7:39:00 AM",2.00,65.70,"2",60.30,79.00,0,"Approx 1/4 NE is oak stand ~30m tall, W is fescue field and E in front of oaks is freshly plowed earth patch ~100mx25m.",0,,,,,,,,,,,
"22_1_4498",4498,181,"BMW","6/30/2022","8:14:00 AM",1.10,62.00,"1",63.00,106.00,0,"Grass field on the east, hazelnuts and house on the west. Some tall hops in SE corner as well, and some grass on west too. Paved road with some tractor noises. Very little bare ground except under the hazelnuts. Northern harrier, white-crowned sparrow, downy woodpecker.",0,,,,,,,,,,,
"22_1_4558",4558,194,"SHA","6/25/2022","8:00:00 AM",1.50,70.30,"0",56.30,78.00,0,"large open field opposite gated driveway with more fields",0,,,,,,,,,,,
"22_1_4808",4808,153,"BMW","6/18/2022","5:54:00 AM",1.00,50.00,"1",20.00,47.00,0,"Some forest on one side, but also large open fields of low grass.",0,,,,,,,,,,,
"22_1_4861",4861,184,"BMW","6/30/2022","9:55:00 AM",2.50,62.00,"1",47.00,108.00,0,"Grass field on the north with shallow ponds. Right in front of a house with a barking dog on the south, with some more marshy/grassy areas. No shoulder at all, parked west of coordinates and walked to the survey spot. Yellow-headed Blackbird and Ring-necked Pheasant. Last survey for the year.",0,,,,,,,,,,,
"22_1_5422",5422,152,"BMW","6/18/2022","6:40:00 AM",0.00,57.00,"2",32.00,109.00,0,"Tall grass fields on both sides with a few pine trees. Meadowlarks calling from several directions.",0,,,,,,,,,,,
"22_1_5539",5539,2,"SHA","6/9/2022","6:55:00 AM",0.00,62.30,"2",54.30,79.00,0,"Fescue field on E side, some trees and shrub growth on W side. Houe and yard ~200 m NW",0,,,,,,,,,,,
