Field_ID,unique_ID,OffRoad_ID,OffRoad,Survey_Event_ID,Observer,Year,Survey_Date,Visit,Survey_Time,Wind,Temp,Sky_Code,Avg_Noise,Max_Noise,OVSP?,Site_Comments,Number_Detected,Lark_ID,Individual_ID,Sex,Age,Distance_Band,Interval_1,Interval_2,Interval_3,Interval_4,Distance_1,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Distance_2,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,Distance_3,Min_17,Min_18,Min_19,Min_20,Min_21,Min_22,Min_23,Min_24,PB_Distance_4,Min_25,Min_26,Min_27,PB_Distance_5,Min_28,Min_29,Min_30,Notes,LatUTM,LongUTM,UTM_X,UTM_Y
25_960-1,960,,0,706,GRH,2025,5/20/2025,1,10:11:00 AM,,55,1,,,0,"RTHA perched immediately above. Can only be sure of 1 singing male with noise present, may be 2.",1,919,1,M,A,,,,,,76,S,S,S,S,S,S,S,S,,X,X,S,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,476853.34,4954326.5
25_4816-1,4816,,0,707,GRH,2025,5/20/2025,1,9:45:00 AM,,55,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476719.31,4957260.5
25_4329-1,4329,,0,708,GRH,2025,5/20/2025,1,9:12:00 AM,,52,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470894.9,4964766
25_4330-1,4330,,0,709,GRH,2025,5/20/2025,1,8:53:00 AM,,51,1,,,0,"ravens, killdeer, and vultures sorta vibing together",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470448.28,4964294
25_3197-1,3197,,0,710,GRH,2025,5/20/2025,1,8:16:00 AM,,52,1,,,0,,1,918,1,M,A,,,,,,168,X,X,X,X,S,S,S,S,,S,S,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,478789.96,4953782
25_5391-1,5391,,0,711,GRH,2025,5/20/2025,1,7:50:00 AM,,51,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482335.68,4953897
25_5111-1,5111,,0,712,GRH,2025,5/20/2025,1,6:42:00 AM,,49,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503789.28,4943507.5
25_1896-1,1896,,0,713,GRH,2025,5/20/2025,1,6:12:00 AM,,48,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508042.53,4938612.5
25_4942-1,4942,,0,714,GRH,2025,5/20/2025,1,5:53:00 AM,,49,2,,,0,RTHA hunting in field,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508731.56,4937159
25_4684-1,4684,,0,715,GRH,2025,5/16/2025,1,6:07:00 AM,,44,3,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477767.34,4918245.5
25_3708-1,3708,,0,716,GRH,2025,5/16/2025,1,6:33:00 AM,,45,3,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477640.59,4917255.5
25_3709-1,3709,,0,717,GRH,2025,5/16/2025,1,6:56:00 AM,,46,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477527.68,4916615.5
