"","Lark_ID","firstInterval","firstDet","site","Count_Date","Start_Time","dayOfYear","surveyYear","Interval_1","Interval_2","Interval_3","Interval_4"
"1","2",2,"Visual","1996",2022-06-07,8H 38M 0S,158,2022,NA,"Visual","Visual","Visual"
"2","4",2,"Visual","1834",2022-06-08,8H 29M 0S,159,2022,NA,"Visual","Singing","Singing"
"3","5",4,"Visual","1834",2022-06-08,8H 29M 0S,159,2022,NA,NA,NA,"Visual"
"4","6",2,"Singing","4705",2022-06-09,6H 22M 0S,160,2022,NA,"Singing","Calling",NA
"5","7",2,"Visual","4174",2022-06-09,8H 28M 0S,160,2022,NA,"Visual","Singing","Visual"
"6","8",3,"Visual","4174",2022-06-09,8H 28M 0S,160,2022,NA,NA,"Visual","Visual"
"7","9",3,"Visual","4174",2022-06-09,8H 28M 0S,160,2022,NA,NA,"Visual",NA
"8","10",1,"Singing","4874",2022-06-10,5H 40M 0S,161,2022,"Singing","Singing","Singing","Singing"
"9","11",3,"Singing","4874",2022-06-10,5H 40M 0S,161,2022,NA,NA,"Singing",NA
"10","12",3,"Visual","4874",2022-06-10,5H 40M 0S,161,2022,NA,NA,"Visual","Calling"
"11","13",4,"Singing","4874",2022-06-10,5H 40M 0S,161,2022,NA,NA,NA,"Singing"
"12","14",2,"Singing","4416",2022-06-13,7H 29M 0S,164,2022,NA,"Singing","Visual","Singing"
"13","15",3,"Singing","4416",2022-06-13,7H 29M 0S,164,2022,NA,NA,"Singing","Singing"
"14","16",1,"Singing","2010",2022-06-13,8H 17M 0S,164,2022,"Singing",NA,"Calling","Calling"
"15","17",2,"Calling","900",2022-06-14,7H 9M 0S,165,2022,NA,"Calling",NA,NA
"16","18",2,"Singing","3653",2022-06-14,8H 0M 0S,165,2022,NA,"Singing",NA,NA
"17","19",2,"Singing","1055",2022-06-16,5H 42M 0S,167,2022,NA,"Singing","Singing",NA
"18","20",3,"Singing","1055",2022-06-16,5H 42M 0S,167,2022,NA,NA,"Singing","Singing"
"19","21",1,"Visual","4725",2022-06-16,6H 22M 0S,167,2022,"Visual","Visual","Visual","Singing"
"20","22",3,"Singing","4725",2022-06-16,6H 22M 0S,167,2022,NA,NA,"Singing","Singing"
"21","23",4,"Visual","5252",2022-06-16,6H 50M 0S,167,2022,NA,NA,NA,"Visual"
"22","24",3,"Singing","1505",2022-06-16,9H 27M 0S,167,2022,NA,NA,"Singing","Singing"
"23","25",1,"Calling","3690",2022-06-18,6H 31M 0S,169,2022,"Calling","Singing","Calling",NA
