"","Lark_ID","firstInterval","firstDet","site","Count_Date","Start_Time","dayOfYear","surveyYear","Interval_1","Interval_2","Interval_3","Interval_4","Interval_5","Interval_6","Interval_7","Interval_8","Interval_9","Interval_10","Interval_11","Interval_12"
"1","913",2,"Singing","4272",2025-05-15,5H 52M 0S,135,2025,NA,"Singing","Singing","Singing",NA,"Singing","Singing","Singing","Singing","Singing","Singing","Singing"
"2","914",2,"Singing","3699",2025-05-15,6H 58M 0S,135,2025,NA,"Singing","Visual","Visual","Visual","Visual","Visual","Singing","Singing","Singing","Visual","Visual"
"3","915",8,"Singing","3699",2025-05-15,6H 58M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,"Singing","Singing",NA,NA,NA
"4","916",11,"Visual","3699",2025-05-15,6H 58M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual","Visual"
"5","917",3,"Singing","3467",2025-05-15,7H 53M 0S,135,2025,NA,NA,"Singing",NA,NA,NA,NA,NA,NA,"Singing","Singing","Singing"
"6","918",5,"Singing","3197",2025-05-20,8H 16M 0S,140,2025,NA,NA,NA,NA,"Singing","Singing","Singing","Singing","Singing","Singing",NA,NA
"7","919",1,"Singing","960",2025-05-20,10H 11M 0S,140,2025,"Singing","Singing","Singing","Singing","Singing","Singing","Singing","Singing",NA,NA,"Singing",NA
"8","920",1,"Singing","4140",2025-05-21,6H 5M 0S,141,2025,"Singing","Singing","Singing","Singing",NA,"Calling",NA,NA,NA,NA,"Calling",NA
"9","921",11,"Visual","4140",2025-05-21,6H 5M 0S,141,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual",NA
"10","922",7,"Singing","9",2025-05-21,7H 10M 0S,141,2025,NA,NA,NA,NA,NA,NA,"Singing","Singing","Singing",NA,NA,"Singing"
"11","923",1,"Singing","1397",2025-05-21,7H 56M 0S,141,2025,"Singing","Singing","Singing","Visual",NA,NA,NA,NA,NA,"Singing",NA,NA
"12","924",1,"Singing","1397",2025-05-21,7H 56M 0S,141,2025,"Singing","Singing","Singing",NA,NA,NA,NA,"Singing","Singing",NA,NA,NA
"13","925",4,"Singing","1577",2025-05-21,7H 39M 0S,141,2025,NA,NA,NA,"Singing","Singing","Singing","Singing","Singing",NA,NA,NA,NA
"14","926",6,"Singing","3815",2025-05-21,8H 39M 0S,141,2025,NA,NA,NA,NA,NA,"Singing","Singing",NA,"Singing",NA,NA,NA
"15","927",4,"Singing","3915",2025-05-21,8H 16M 0S,141,2025,NA,NA,NA,"Singing","Visual","Visual",NA,NA,NA,NA,NA,NA
"16","928",5,"Visual","3915",2025-05-21,8H 16M 0S,141,2025,NA,NA,NA,NA,"Visual","Visual",NA,NA,NA,NA,NA,NA
"17","929",4,"Visual","3915",2025-05-21,8H 16M 0S,141,2025,NA,NA,NA,"Visual",NA,NA,NA,NA,NA,NA,NA,NA
"18","930",8,"Singing","2686",2025-05-21,9H 25M 0S,141,2025,NA,NA,NA,NA,NA,NA,NA,"Singing","Singing","Singing","Singing","Singing"
"19","931",1,"Visual","1382",2025-05-22,9H 8M 0S,142,2025,"Visual","Visual","Visual","Visual","Visual","Visual","Visual","Visual","Visual","Visual","Visual",NA
"20","932",8,"Singing","1382",2025-05-22,9H 8M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,"Singing","Singing","Singing","Visual","Visual"
"21","936",2,"Singing","5804",2025-05-22,9H 44M 0S,142,2025,NA,"Singing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","937",1,"Singing","3004",2025-06-10,8H 10M 0S,161,2025,"Singing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singing",NA
"23","938",8,"Visual","3004",2025-06-10,8H 10M 0S,161,2025,NA,NA,NA,NA,NA,NA,NA,"Visual",NA,NA,NA,NA
"24","939",2,"Singing","2759",2025-06-06,7H 0M 0S,157,2025,NA,"Singing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","940",1,"Singing","1992",2025-06-06,6H 39M 0S,157,2025,"Singing","Singing","Singing","Singing",NA,NA,NA,NA,NA,NA,NA,"Singing"
"26","941",6,"Singing","1356",2025-06-06,5H 49M 0S,157,2025,NA,NA,NA,NA,NA,"Singing",NA,"Singing","Singing",NA,"Singing","Singing"
"27","942",10,"Visual","1356",2025-06-06,5H 49M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual","Visual",NA
"28","943",10,"Visual","1356",2025-06-06,5H 49M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual",NA,NA
"29","944",10,"Visual","1356",2025-06-06,5H 49M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual",NA,NA
"30","945",1,"Singing","671",2025-06-06,5H 29M 0S,157,2025,"Singing","Singing","Singing","Singing","Singing","Singing","Singing","Singing","Singing","Singing","Singing","Singing"
"31","946",2,"Singing","671",2025-06-06,5H 29M 0S,157,2025,NA,"Singing","Singing","Singing","Singing","Singing","Singing","Singing",NA,"Singing",NA,NA
"32","947",7,"Singing","671",2025-06-06,5H 29M 0S,157,2025,NA,NA,NA,NA,NA,NA,"Singing","Singing","Singing","Singing","Singing",NA
"33","948",5,"Singing","4981",2025-06-05,8H 23M 0S,156,2025,NA,NA,NA,NA,"Singing",NA,NA,NA,NA,NA,NA,NA
"34","949",9,"Singing","5774",2025-06-05,7H 24M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,"Singing",NA,NA,NA
"35","950",1,"Singing","1074",2025-06-05,5H 40M 0S,156,2025,"Singing","Singing","Singing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","951",1,"Singing","1074",2025-06-05,5H 40M 0S,156,2025,"Singing","Singing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singing"
"37","952",1,"Visual","1102",2025-06-04,8H 15M 0S,155,2025,"Visual","Visual","Visual","Visual","Visual","Visual","Visual",NA,NA,NA,NA,NA
"38","953",1,"Visual","1102",2025-06-04,8H 15M 0S,155,2025,"Visual","Visual","Visual","Visual","Visual","Visual","Visual","Visual",NA,NA,NA,NA
"39","954",1,"Singing","1673",2025-06-04,7H 55M 0S,155,2025,"Singing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","955",6,"Singing","1673",2025-06-04,7H 55M 0S,155,2025,NA,NA,NA,NA,NA,"Singing",NA,NA,NA,NA,NA,NA
"41","956",4,"Singing","1725",2025-06-04,6H 9M 0S,155,2025,NA,NA,NA,"Singing",NA,"Singing",NA,NA,NA,NA,NA,NA
"42","957",1,"Singing","3719",2025-06-12,5H 50M 0S,163,2025,"Singing","Singing","Singing","Singing",NA,NA,NA,NA,NA,"Singing","Singing","Singing"
"43","958",4,"Singing","3719",2025-06-12,5H 50M 0S,163,2025,NA,NA,NA,"Singing","Singing","Singing",NA,NA,NA,NA,NA,NA
"44","959",1,"Calling","2181",2025-06-12,7H 7M 0S,163,2025,"Calling",NA,"Visual","Visual","Visual","Visual","Visual","Visual","Visual",NA,NA,NA
"45","960",3,"Visual","2181",2025-06-12,7H 7M 0S,163,2025,NA,NA,"Visual","Visual","Visual","Visual",NA,"Visual",NA,NA,NA,NA
"46","961",6,"Visual","2181",2025-06-12,7H 7M 0S,163,2025,NA,NA,NA,NA,NA,"Visual",NA,NA,NA,NA,NA,NA
"47","962",12,"Singing","5503",2025-06-12,8H 2M 0S,163,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singing"
"48","963",1,"Singing","5385",2025-06-10,8H 43M 0S,161,2025,"Singing","Singing","Calling","Visual",NA,NA,NA,NA,NA,NA,NA,"Calling"
"49",NA,NA,NA,"4816",2025-05-20,9H 45M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,"4329",2025-05-20,9H 12M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,"4330",2025-05-20,8H 53M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,"5391",2025-05-20,7H 50M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,"5111",2025-05-20,6H 42M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,"1896",2025-05-20,6H 12M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,"4942",2025-05-20,5H 53M 0S,140,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,"4684",2025-05-16,6H 7M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,"3708",2025-05-16,6H 33M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,"3709",2025-05-16,6H 56M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,"4316",2025-05-16,7H 16M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,"3863",2025-05-16,7H 35M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,"5091",2025-05-16,7H 55M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,"1417",2025-05-16,8H 35M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,"3515",2025-05-16,8H 55M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,"4070",2025-05-16,9H 19M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,"621",2025-05-16,9H 47M 0S,136,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,"4199",2025-05-15,9H 54M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,"4200",2025-05-15,9H 37M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,"4320",2025-05-15,9H 18M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,"3468",2025-05-15,8H 12M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,"3573",2025-05-15,7H 29M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,"2795",2025-05-15,6H 40M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,"5321",2025-05-15,6H 18M 0S,135,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,"2950",2025-05-14,9H 29M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,"1963",2025-05-14,9H 45M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,"4887",2025-05-14,9H 5M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,"3548",2025-05-14,8H 27M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,"222",2025-05-14,7H 37M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,"4030",2025-05-14,8H 6M 0S,134,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,"5380",2025-05-21,9H 3M 0S,141,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,"3367",2025-05-21,6H 40M 0S,141,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,"3278",2025-05-21,9H 10M 0S,141,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,"5195",2025-05-21,9H 40M 0S,141,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,"711",2025-05-22,5H 48M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,"5808",2025-05-22,6H 17M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
