Lark_ID,firstInterval,firstDet,surveyEvent,unique_ID,Survey_Event_ID,Observer,Survey_Date,Survey_Time,Wind,Temp,Sky_Code,Avg_Noise,Max_Noise,OVSP?,Site_Comments,Number_Detected,Expr1014,Individual_ID,Sex,Age,distanceBand,Interval_1,Interval_2,Interval_3,Interval_4,Notes,Count_Date,Start_Time,Site_ID,dayOfYear,surveyYear,sunrise,mas
2,2,Visual,22_2_1996,1996,4,SHA,6/7/2022,08:38:00,0,56,Mostly cloudy,48,74,0,NA,1,2,1,Male,Adult,3,NA,Visual,Visual,Visual,NA,2022-06-07,8H 38M 0S,1996,158,2022,2022-06-07T12:30:23Z,187.99999999999997
4,2,Visual,22_2_1834,1834,13,MLG,6/8/2022,08:29:00,4.2,61.6,Mostly cloudy,73.3,91,0,"Stubble field to the west with low spots that would flood, tall grass field to the east.",2,4,1,Male,Adult,2,NA,Visual,Singing,Singing,NA,2022-06-08,8H 29M 0S,1834,159,2022,2022-06-08T12:30:05Z,178.99999999999994
5,4,Visual,22_2_1834,1834,13,MLG,6/8/2022,08:29:00,4.2,61.6,Mostly cloudy,73.3,91,0,"Stubble field to the west with low spots that would flood, tall grass field to the east.",2,5,2,Female,Adult,3,NA,NA,NA,Visual,NA,2022-06-08,8H 29M 0S,1834,159,2022,2022-06-08T12:30:05Z,178.99999999999994
6,2,Singing,22_2_4705,4705,18,MLG,6/9/2022,06:22:00,0,60.8,Partly cloudy,23,97,0,"2m high grass on south side of point, clover on the north side. Gravel and low grass shoulder. A cool biplane flew over",1,6,1,Male,Adult,3,NA,Singing,Calling,NA,NA,2022-06-09,6H 22M 0S,4705,160,2022,2022-06-09T12:29:50Z,52.99999999999997
7,2,Visual,22_2_4174,4174,22,MLG,6/9/2022,08:28:00,6,59,Mostly cloudy,59,100,0,Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty,3,7,1,Male,Adult,2,NA,Visual,Singing,Visual,NA,2022-06-09,8H 28M 0S,4174,160,2022,2022-06-09T12:29:50Z,179
8,3,Visual,22_2_4174,4174,22,MLG,6/9/2022,08:28:00,6,59,Mostly cloudy,59,100,0,Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty,3,8,2,Female,Adult,2,NA,NA,Visual,Visual,NA,2022-06-09,8H 28M 0S,4174,160,2022,2022-06-09T12:29:50Z,179
9,3,Visual,22_2_4174,4174,22,MLG,6/9/2022,08:28:00,6,59,Mostly cloudy,59,100,0,Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty,3,9,3,Unknown,Adult,3,NA,NA,Visual,NA,Flew away before sex could be ID'd,2022-06-09,8H 28M 0S,4174,160,2022,2022-06-09T12:29:50Z,179
10,1,Singing,22_3_4874,4874,24,MLG,6/10/2022,05:40:00,3,61.3,Mostly cloudy,40.2,71,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,10,1,Male,Adult,2,Singing,Singing,Singing,Singing,NA,2022-06-10,5H 40M 0S,4874,161,2022,2022-06-10T12:29:36Z,11.000000000000014
11,3,Singing,22_3_4874,4874,24,MLG,6/10/2022,05:40:00,3,61.3,Mostly cloudy,40.2,71,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,11,2,Male,Adult,2,NA,NA,Singing,NA,NA,2022-06-10,5H 40M 0S,4874,161,2022,2022-06-10T12:29:36Z,11.000000000000014
12,3,Visual,22_3_4874,4874,24,MLG,6/10/2022,05:40:00,3,61.3,Mostly cloudy,40.2,71,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,12,3,Female,Adult,2,NA,NA,Visual,Calling,NA,2022-06-10,5H 40M 0S,4874,161,2022,2022-06-10T12:29:36Z,11.000000000000014
