Lark_ID,firstInterval,firstDet,Field_ID,unique_ID,OffRoad_ID,OffRoad,surveyEvent,Observer,Year,Survey_Date,Visit,Survey_Time,Wind,Temp,Sky_Code,Avg_Noise,Max_Noise,OVSP?,Site_Comments,Number_Detected,Individual_ID,Sex,Age,Distance_1,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Distance_2,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,Distance_3,Min_17,Min_18,Min_19,Min_20,Min_21,Min_22,Min_23,Min_24,PB_Distance_4,Min_25,Min_26,Min_27,PB_Distance_5,Min_28,Min_29,Min_30,Notes,UTM_X,UTM_Y,Count_Date,Start_Time,Site_ID,Interval_1,Interval_2,Interval_3,Interval_4,Interval_5,Interval_6,Interval_7,Interval_8,Interval_9,Interval_10,Interval_11,Interval_12,Interval_13,Interval_14,Interval_15,Interval_16,Interval_17,Interval_18,Interval_19,Interval_20,Interval_21,Interval_22,Interval_23,Interval_24,Interval_25,Interval_26,Interval_27,Interval_28,Interval_29,Interval_30,dayOfYear,surveyYear,sunrise,mas
667,13,Singing,24_5252,5252,NA,0,582,SHA,2024,6/18/2024,2,08:38:00,NA,53,Clear,NA,NA,0,NA,2,1,Male,Adult,NA,X,X,X,X,X,X,X,X,215,X,X,X,X,S,S,S,S,195,S,X,X,S,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,477774.18,4889345,2024-06-18,8H 38M 0S,5252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,NA,NA,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,2024,2024-06-18T12:29:15Z,188.99999999999997
668,17,Singing,24_5252,5252,NA,0,582,SHA,2024,6/18/2024,2,08:38:00,NA,53,Clear,NA,NA,0,NA,2,1,Male,Adult,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,280,S,X,X,X,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,477774.18,4889345,2024-06-18,8H 38M 0S,5252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,2024,2024-06-18T12:29:15Z,188.99999999999997
669,30,Singing,24_5253,5253,NA,0,583,SHA,2024,6/18/2024,2,08:03:00,NA,50,Clear,NA,NA,0,NA,1,1,Male,Adult,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,189,X,X,S,NA,478423,4889367,2024-06-18,8H 3M 0S,5253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,170,2024,2024-06-18T12:29:15Z,154.00000000000003
670,6,Singing,24_CA07,NA,CA07,1,592,SHA,2024,6/7/2024,2,08:37:00,NA,64,Clear,NA,NA,0,NA,5,1,Male,Adult,195,X,X,X,X,X,S,S,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,4927733.05,476701.26,2024-06-07,8H 37M 0S,NA,NA,NA,NA,NA,NA,Singing,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,2024,2024-06-07T12:30:14Z,187.00000000000003
671,9,Singing,24_CA07,NA,CA07,1,592,SHA,2024,6/7/2024,2,08:37:00,NA,64,Clear,NA,NA,0,NA,5,2,Male,Adult,NA,X,X,X,X,X,X,X,X,71,S,S,X,X,X,X,X,X,148,X,X,V,V,S,S,X,X,147,S,S,V,147,S,S,S,NA,4927733.05,476701.26,2024-06-07,8H 37M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,NA,NA,NA,NA,NA,NA,NA,NA,Visual,Visual,Singing,Singing,NA,NA,Singing,Singing,Visual,Singing,Singing,Singing,159,2024,2024-06-07T12:30:14Z,187.00000000000003
672,12,Singing,24_CA07,NA,CA07,1,592,SHA,2024,6/7/2024,2,08:37:00,NA,64,Clear,NA,NA,0,NA,5,3,Male,Adult,NA,X,X,X,X,X,X,X,X,60,X,X,X,S,S,S,X,S,84,X,S,X,X,X,X,C,X,45,X,X,V,27,V,S,S,NA,4927733.05,476701.26,2024-06-07,8H 37M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,NA,Singing,NA,Singing,NA,NA,NA,NA,Calling,NA,NA,NA,Visual,Visual,Singing,Singing,159,2024,2024-06-07T12:30:14Z,187.00000000000003
673,21,Visual,24_CA07,NA,CA07,1,592,SHA,2024,6/7/2024,2,08:37:00,NA,64,Clear,NA,NA,0,NA,5,4,Female,Adult,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,41,X,X,X,X,V,V,V,X,48,V,V,V,38,X,V,V,NA,4927733.05,476701.26,2024-06-07,8H 37M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual,Visual,Visual,NA,Visual,Visual,Visual,NA,Visual,Visual,159,2024,2024-06-07T12:30:14Z,187.00000000000003
674,23,Calling,24_CA07,NA,CA07,1,592,SHA,2024,6/7/2024,2,08:37:00,NA,64,Clear,NA,NA,0,NA,5,5,Male,Adult,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,63,X,X,X,X,X,X,C,V,53,X,X,V,29,C,V,V,NA,4927733.05,476701.26,2024-06-07,8H 37M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calling,Visual,NA,NA,Visual,Calling,Visual,Visual,159,2024,2024-06-07T12:30:14Z,187.00000000000003
675,1,Singing,24_CA03,NA,CA03,1,593,SHA,2024,6/7/2024,2,07:42:00,NA,59,Clear,NA,NA,0,NA,5,1,Male,Adult,182,S,S,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,NA,X,X,X,NA,X,X,X,NA,4926833.05,476701.26,2024-06-07,7H 42M 0S,NA,Singing,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,2024,2024-06-07T12:30:14Z,132
676,3,Calling,24_CA03,NA,CA03,1,593,SHA,2024,6/7/2024,2,07:42:00,NA,59,Clear,NA,NA,0,NA,5,2,Unknown,Adult,40,X,X,C,X,X,X,C,X,52,X,X,X,C,X,X,X,X,NA,X,X,X,X,X,X,X,X,60,C,X,X,NA,X,X,X,NA,4926833.05,476701.26,2024-06-07,7H 42M 0S,NA,NA,NA,Calling,NA,NA,NA,Calling,NA,NA,NA,NA,Calling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calling,NA,NA,NA,NA,NA,159,2024,2024-06-07T12:30:14Z,132
