Lark_ID,firstInterval,firstDet,Field_ID,unique_ID,Survey_Event_ID,Observer,surveyEvent,Survey_Date,Visit,Survey_Time,Temp,Sky_Code,Site_Comments,Number_Detected,Individual_ID,Sex,Age,Distance_1,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Notes,LatUTM,LongUTM,UTM_X,UTM_Y,Count_Date,Start_Time,Site_ID,Interval_1,Interval_2,Interval_3,Interval_4,Interval_5,Interval_6,Interval_7,Interval_8,Interval_9,Interval_10,Interval_11,Interval_12,dayOfYear,surveyYear,sunrise,mas
913,2,Singing,25_4272-1,4272,745,GRH,2025,5/15/2025,2,05:52:00,47,Mostly cloudy,I think bird was beyond hedgerow in green field (with beans?),1,1,Male,Adult,165,X,S,S,S,X,S,S,S,S,S,S,S,NA,NA,NA,481904.68,4968342.5,2025-05-15,5H 52M 0S,4272,NA,Singing,Singing,Singing,NA,Singing,Singing,Singing,Singing,Singing,Singing,Singing,135,2025,2025-05-15T12:46:36Z,6.000000000000032
914,2,Singing,25_3699-1,3699,731,GRH,2025,5/15/2025,1,06:58:00,48,Mostly cloudy,NA,3,1,Male,Adult,148,X,S,V,V,V,V,V,S,S,S,V,V,NA,NA,NA,481439.37,4971737.5,2025-05-15,6H 58M 0S,3699,NA,Singing,Visual,Visual,Visual,Visual,Visual,Singing,Singing,Singing,Visual,Visual,135,2025,2025-05-15T12:46:36Z,72.00000000000001
915,8,Singing,25_3699-1,3699,731,GRH,2025,5/15/2025,1,06:58:00,48,Mostly cloudy,NA,3,2,Male,Adult,41,X,X,X,X,X,X,X,S,S,X,X,X,NA,NA,NA,481439.37,4971737.5,2025-05-15,6H 58M 0S,3699,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,NA,NA,NA,135,2025,2025-05-15T12:46:36Z,72.00000000000001
916,11,Visual,25_3699-1,3699,731,GRH,2025,5/15/2025,1,06:58:00,48,Mostly cloudy,NA,3,3,Female,Adult,58,X,X,X,X,X,X,X,X,X,X,V,V,NA,NA,NA,481439.37,4971737.5,2025-05-15,6H 58M 0S,3699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual,Visual,135,2025,2025-05-15T12:46:36Z,72.00000000000001
917,3,Singing,25_3467-1,3467,729,GRH,2025,5/15/2025,1,07:53:00,49,Mostly cloudy,NA,1,1,Male,Adult,541,X,X,S,X,X,X,X,X,X,S,S,S,NA,NA,NA,481957.37,4972381.5,2025-05-15,7H 53M 0S,3467,NA,NA,Singing,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,135,2025,2025-05-15T12:46:36Z,126.99999999999997
918,5,Singing,25_3197-1,3197,710,GRH,2025,5/20/2025,1,08:16:00,52,Partly cloudy,NA,1,1,Male,Adult,168,X,X,X,X,S,S,S,S,S,S,X,X,NA,NA,NA,478789.96,4953782,2025-05-20,8H 16M 0S,3197,NA,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,Singing,NA,NA,140,2025,2025-05-20T12:41:35Z,155.00000000000003
919,1,Singing,25_960-1,960,706,GRH,2025,5/20/2025,1,10:11:00,55,Partly cloudy,"RTHA perched immediately above. Can only be sure of 1 singing male with noise present, may be 2.",1,1,Male,Adult,76,S,S,S,S,S,S,S,S,X,X,S,X,NA,NA,NA,476853.34,4954326.5,2025-05-20,10H 11M 0S,960,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,NA,NA,Singing,NA,140,2025,2025-05-20T12:41:35Z,270
920,1,Singing,25_4140-1,4140,764,GRH,2025,5/21/2025,1,06:05:00,42,Partly cloudy,NA,2,1,Male,Adult,116,S,S,S,S,X,C,X,X,X,X,C,X,NA,NA,NA,470684.06,4984992,2025-05-21,6H 5M 0S,4140,Singing,Singing,Singing,Singing,NA,Calling,NA,NA,NA,NA,Calling,NA,141,2025,2025-05-21T12:40:40Z,24.999999999999964
921,11,Visual,25_4140-1,4140,764,GRH,2025,5/21/2025,1,06:05:00,42,Partly cloudy,NA,2,2,Unknown,Adult,130,X,X,X,X,X,X,X,X,X,X,V,X,NA,NA,NA,470684.06,4984992,2025-05-21,6H 5M 0S,4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual,NA,141,2025,2025-05-21T12:40:40Z,24.999999999999964
922,7,Singing,25_9-1,9,762,GRH,2025,5/21/2025,1,07:10:00,45,Clear,NA,1,1,Male,Adult,415,X,X,X,X,X,X,S,S,S,X,X,S,NA,NA,NA,478280.12,4996115.5,2025-05-21,7H 10M 0S,9,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,NA,NA,Singing,141,2025,2025-05-21T12:40:40Z,90
923,1,Singing,25_1397-1,1397,760,GRH,2025,5/21/2025,1,07:56:00,49,Clear,Heard M from last point skylarking behind me,2,1,Male,Adult,484,S,S,S,V,X,X,X,X,X,S,X,X,NA,NA,NA,475327.5,4987807.5,2025-05-21,7H 56M 0S,1397,Singing,Singing,Singing,Visual,NA,NA,NA,NA,NA,Singing,NA,NA,141,2025,2025-05-21T12:40:40Z,136
