OBJECTID,ORIG_FID,ID,FEATTYP,FT,F_JNCTID,F_JNCTTYP,T_JNCTID,T_JNCTTYP,PJ,METERS,FRC,NETCLASS,NETBCLASS,NET2CLASS,SOL,NAMETYP,CHARGE,SHIELDNUM,RTETYP,RTEDIR,RTEDIRVD,PROCSTAT,FOW,SLIPRD,FREEWAY,BACKRD,TOLLRD,RDCOND,STUBBLE,PRIVATERD,CONSTATUS,ONEWAY,F_BP,T_BP,F_ELEV,T_ELEV,KPH,MINUTES,POSACCUR,CARRIAGE,LANES,RAMP,ADAS,TRANS,DYNSPEED,SPEEDCAT,NTHRUTRAF,ROUGHRD,PARTSTRUC,STATE,FULLNAME,PREFIX,PRETYPE,NAME,TYPE,SUFFIX,NAME_DIR,NAMELC,GIS_PRC_DT,recovery_zone,unique_ID,max_2017,max_2018,max_2020,max_2021,max_2017_scaled,max_2018_scaled,max_2020_scaled,max_2021_scaled,X_coord,Y_coord,four_year_avg,four_year_avg_scaled,pct_suitable_2021,UTM_X,UTM_Y,Shape_Length,Shape_Area,surveyed_2022,num_birds_2022
1,7,488400000924515,4110,0,488400200153777,0,488400200152432,0,0,749.799999999999955,3,0,0,1,0,17, , ,0, , ,1,2,0,0,0, ,1,0,0, ,FT,0,0,0,0,56,0.804000000000000,0, ,0,0,0,0,0,3,0,0,0,Oregon,Salmon River Hwy, , ,Salmon River,Hwy, ,,en,,1,1,6,7,6,7,0.5980000,0.6960000,0.5980000,0.6960000,-123.2542419,45.1646843,6.5000000,0.7594118,0.0184916,480019.5625000,5001276.5000000,1256.637061435917303,125663.706143591727596,0,
2,17,488400000917326,4110,0,488400200147440,0,488400200144816,0,0,989.700000000000045,6,0,0,4,0,0, , ,0, , ,1,3,0,0,3, ,1,0,0, ,,0,0,0,0,32,1.856000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon, ,,, ,,,, ,,3,2,3,1,3,5,0.3040000,0.1080000,0.3040000,0.5000000,-123.2837753,45.1144295,3.0000000,0.3558823,0.0000000,477678.5312500,4995701.0000000,1256.637061435917303,125663.706143591727596,0,
3,18,488400000917684,4110,0,488400200154670,0,488400200151843,0,0,766.299999999999955,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.437000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,Baker Creek Rd, , ,Baker Creek,Rd, ,,en,,1,3,5,6,6,6,0.5000000,0.5980000,0.5980000,0.5980000,-123.2544708,45.2262421,5.7500000,0.6729411,0.0000000,480022.9062500,5008115.0000000,1256.637061435917303,125663.706143591727596,0,
4,19,488400000921677,4110,0,488400200145707,0,488400200146800,0,0,1614.000000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,3.028000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Deer Creek Flats Rd,SW, ,Deer Creek Flats,Rd, ,,en,,3,4,5,6,4,6,0.5000000,0.5980000,0.4020000,0.5980000,-123.3152695,45.1068192,5.2500000,0.6152941,0.0000000,475198.1562500,4994865.0000000,1256.637061435917303,125663.706143591727596,0,
5,21,488400000917346,4110,0,488400200151795,0,488400200158121,0,0,693.500000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,1,0,32,1.300000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Delashmutt Ln,SW, ,Delashmutt,Ln, ,,en,,3,5,8,8,6,8,0.7940000,0.7940000,0.5980000,0.7940000,-123.2733002,45.1299438,7.5000000,0.8747059,0.1415991,478508.4375000,4997422.0000000,1256.637061435917303,125663.706143591727596,0,
6,22,488400000917390,4110,0,488400200158121,0,488400200146484,0,0,2421.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,4.541000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Delashmutt Ln,SW, ,Delashmutt,Ln, ,,en,,3,6,6,6,6,7,0.5980000,0.5980000,0.5980000,0.6960000,-123.2716980,45.1360168,6.2500000,0.7305883,0.0010866,478636.4687500,4998096.5000000,1256.637061435917303,125663.706143591727596,1,0
7,23,488400000917390,4110,0,488400200158121,0,488400200146484,0,0,2421.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,4.541000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Delashmutt Ln,SW, ,Delashmutt,Ln, ,,en,,3,7,6,6,6,8,0.5980000,0.5980000,0.5980000,0.7940000,-123.2712021,45.1418571,6.5000000,0.7594118,0.0005449,478677.7812500,4998745.0000000,1256.637061435917303,125663.706143591727596,0,
8,24,488400000917390,4110,0,488400200158121,0,488400200146484,0,0,2421.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,4.541000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Delashmutt Ln,SW, ,Delashmutt,Ln, ,,en,,3,8,8,7,8,8,0.7940000,0.6960000,0.7940000,0.7940000,-123.2677994,45.1458740,7.7500000,0.9035294,0.2329560,478946.7500000,4999190.5000000,1256.637061435917303,125663.706143591727596,0,
9,25,488400000921679,4110,0,488400200144816,0,488400200151795,0,0,1347.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,1,32,2.526000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Delashmutt Ln,SW, ,Delashmutt,Ln, ,,en,,3,9,6,6,8,8,0.5980000,0.5980000,0.7940000,0.7940000,-123.2761459,45.1181755,7.0000000,0.8170588,0.2657591,478280.1250000,4996115.5000000,1256.637061435917303,125663.706143591727596,0,
10,26,488400000921679,4110,0,488400200144816,0,488400200151795,0,0,1347.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,1,32,2.526000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Delashmutt Ln,SW, ,Delashmutt,Ln, ,,en,,3,10,5,7,5,8,0.5000000,0.6960000,0.5000000,0.7940000,-123.2757645,45.1240044,6.2500000,0.7305883,0.0146397,478312.2500000,4996763.0000000,1256.637061435917303,125663.706143591727596,1,0
11,28,488400000917446,4110,0,488400200152565,0,488400200151953,0,0,1333.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,2.500000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Masonville Rd,SW, ,Masonville,Rd, ,,en,,1,11,3,5,7,8,0.3040000,0.5000000,0.6960000,0.7940000,-123.2694092,45.1716270,5.7500000,0.6729411,0.1805150,478829.8125000,5002051.5000000,1256.637061435917303,125663.706143591727596,0,
12,29,488400000917446,4110,0,488400200152565,0,488400200151953,0,0,1333.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,2.500000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Masonville Rd,SW, ,Masonville,Rd, ,,en,,1,12,8,8,8,8,0.7940000,0.7940000,0.7940000,0.7940000,-123.2611389,45.1717033,8.0000000,0.9323530,0.0582147,479479.7812500,5002058.0000000,1256.637061435917303,125663.706143591727596,0,
