OBJECTID,Site_ID,FID,ln_UTM1083,lt_UTM1083,siteID,siteuse,replsit,ln_WGS84,lt_WGS84,stratum,wgt,ip,caty,aux,uniq_ID,srvy_st,keep,fr_yr__,pct_suitable_2021,OBJECTID_1,ORIG_FID,ID,FEATTYP,FT,F_JNCTID,F_JNCTTYP,T_JNCTID,T_JNCTTYP,PJ,METERS,FRC,NETCLASS,NETBCLASS,NET2CLASS,SOL,NAMETYP,CHARGE,SHIELDNUM,RTETYP,RTEDIR,RTEDIRVD,PROCSTAT,FOW,SLIPRD,FREEWAY,BACKRD,TOLLRD,RDCOND,STUBBLE,PRIVATERD,CONSTATUS,ONEWAY,F_BP,T_BP,F_ELEV,T_ELEV,KPH,MINUTES,POSACCUR,CARRIAGE,LANES,RAMP,ADAS,TRANS,DYNSPEED,SPEEDCAT,NTHRUTRAF,ROUGHRD,PARTSTRUC,STATE,FULLNAME,PREFIX,PRETYPE,NAME,TYPE,SUFFIX,NAME_DIR,NAMELC,GIS_PRC_DT,Shape_Length,Shape_Area,recovery_zone,unique_ID,max_2017,max_2018,max_2020,max_2021,max_2017_scaled,max_2018_scaled,max_2020_scaled,max_2021_scaled,X_coord,Y_coord,four_year_avg,four_year_avg_scaled,pct_suitable_2021_2022
1,1001,0,525309,5006370,Site-01,Legacy,None,-122.670000000000002,45.210000000000001,None,67.189999999999998,0.010000000000000,None,0.900000000000000,2332,1,1,0.900000000000000,0.0018851,2947,2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,HWY 170,HWY,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,2332,8,8,8,7,0.7940000,0.7940000,0.7940000,0.6960000,-122.6776962,45.2103195,7.7500000,0.9035294,0.0018851
2,1002,1,487719,5013780,Site-02,Legacy,None,-123.150000000000006,45.270000000000003,None,83.090000000000003,0.010000000000000,None,0.730000000000000,203,1,1,0.730000000000000,0.0000000,295,295,488400000918612,4110,0,488400200154508,0,488400200145582,0,0,1874.500000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,3.516000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,NE Jernstedt Rd,NE, ,Jernstedt,Rd, ,,en,,1256.637061435917303,125663.706143591727596,1,203,5,8,5,7,0.5000000,0.7940000,0.5000000,0.6960000,-123.1565781,45.2774277,6.2500000,0.7305883,0.0000000
3,1003,2,516385,4957410,Site-03,Legacy,None,-122.790000000000006,44.759999999999998,None,83.090000000000003,0.010000000000000,None,0.730000000000000,5539,1,1,0.730000000000000,0.1739067,7228,6452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUEENER,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,5539,8,5,4,8,0.7940000,0.5000000,0.4020000,0.7940000,-122.7929382,44.7698669,6.2500000,0.7305883,0.1739067
4,1004,3,495997,4987390,Site-04,Legacy,None,-123.049999999999997,45.030000000000001,None,79.939999999999998,0.010000000000000,None,0.750000000000000,4498,1,1,0.750000000000000,0.0000754,5767,4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDSOR ISLAND,RD,N,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,4498,7,6,6,7,0.6960000,0.5980000,0.5980000,0.6960000,-123.0508270,45.0399323,6.5000000,0.7594118,0.0000754
5,1005,4,516734,4940850,Site-05,Legacy,None,-122.780000000000001,44.619999999999997,None,79.939999999999998,0.010000000000000,None,0.750000000000000,593,1,1,0.750000000000000,0.0156011,845,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROVIDENCE,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,593,6,7,6,7,0.5980000,0.6960000,0.5980000,0.6960000,-122.7890701,44.6208267,6.5000000,0.7594118,0.0156011
6,1006,5,483398,5024100,Site-06,Legacy,None,-123.209999999999994,45.369999999999997,None,83.090000000000003,0.010000000000000,None,0.730000000000000,148,1,1,0.730000000000000,0.0000000,206,206,488400000331362,4110,0,488400200154221,0,488400200144604,0,0,1482.900000000000091,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,2.782000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,NW Gerrish Valley Rd,NW, ,Gerrish Valley,Rd, ,,en,,1256.637061435917303,125663.706143591727596,1,148,6,7,6,6,0.5980000,0.6960000,0.5980000,0.5980000,-123.2120132,45.3702240,6.2500000,0.7305883,0.0000000
7,1007,6,510238,4976060,Site-07,Legacy,None,-122.870000000000005,44.930000000000000,None,65.109999999999999,0.010000000000000,None,0.930000000000000,4120,1,1,0.930000000000000,0.0010867,5249,4473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95TH,AVE,NE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,4120,8,8,8,8,0.7940000,0.7940000,0.7940000,0.7940000,-122.8702393,44.9379272,8.0000000,0.9323530,0.0010867
8,1008,7,511473,4963710,Site-08,Legacy,None,-122.849999999999994,44.820000000000000,None,77.019999999999996,0.010000000000000,None,0.780000000000000,4808,1,1,0.780000000000000,0.0000000,6167,5391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BISHOP,RD,SE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,4808,5,8,8,6,0.5000000,0.7940000,0.7940000,0.5980000,-122.8548660,44.8266945,6.7500000,0.7882353,0.0000000
9,1009,8,519181,4999950,Site-09,Legacy,None,-122.750000000000000,45.149999999999999,None,69.400000000000006,0.010000000000000,None,0.870000000000000,2831,1,1,0.870000000000000,0.0577312,3534,2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,MERIDIAN,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,2831,8,6,8,8,0.7940000,0.5980000,0.7940000,0.7940000,-122.7559814,45.1527290,7.5000000,0.8747059,0.0577312
10,1010,9,519461,4965710,Site-10,Legacy,None,-122.750000000000000,44.840000000000003,None,79.939999999999998,0.010000000000000,None,0.750000000000000,3679,1,1,0.750000000000000,0.0607781,4635,3859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIUMPH,RD,SE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,3679,5,8,5,8,0.5000000,0.7940000,0.5000000,0.7940000,-122.7537384,44.8445129,6.5000000,0.7594118,0.0607781
