"interval1";"interval2";"interval3";"interval4";"interval5";"interval6";"interval7";"interval8";"interval9";"interval10";"interval11";"interval12"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
